qualité du sommeil;temps au lit (secondes);marches;rythme cardiaque (bpm)
59%;25405.3;6718.0;0.0
78%;26780.1;166.0;0.0
70%;23444.1;3002.0;0.0
74%;25681.0;2041.0;0.0
46%;27999.2;355.0;0.0
75%;27915.6;4170.0;0.0
70%;26669.6;40.0;0.0
55%;25803.2;961.0;0.0
68%;24891.1;2635.0;0.0
67%;28627.1;1247.0;0.0
86%;26090.5;1478.0;0.0
87%;30811.6;1846.0;0.0
56%;28180.2;8061.0;0.0
85%;27324.3;7376.0;0.0
53%;24354.9;190.0;0.0
65%;23188.6;926.0;0.0
80%;24480.1;326.0;0.0
77%;30614.9;3861.0;0.0
76%;25627.5;3619.0;0.0
96%;33287.5;2782.0;0.0
56%;29631.4;5380.0;0.0
91%;32489.5;7271.0;0.0
74%;29194.6;8316.0;0.0
72%;27505.2;29359.0;0.0
83%;29161.6;15376.0;0.0
93%;29059.4;5640.0;0.0
92%;29543.7;16810.0;0.0
61%;29837.5;500.0;0.0
86%;29477.0;2524.0;0.0
82%;27352.3;2191.0;0.0
84%;32768.9;5679.0;0.0
81%;26358.7;10959.0;0.0
64%;30042.2;11769.0;0.0
72%;25766.3;8921.0;0.0
85%;27144.9;2440.0;0.0
82%;28218.5;1551.0;0.0
77%;28947.2;3166.0;0.0
96%;30369.9;6.0;0.0
86%;29042.8;3424.0;0.0
81%;26378.5;3312.0;0.0
69%;26209.1;3864.0;0.0
77%;25382.2;1470.0;0.0
73%;27799.9;1395.0;0.0
76%;24525.4;1311.0;0.0
84%;27586.5;1341.0;0.0
79%;27791.5;2346.0;0.0
66%;25692.4;8549.0;0.0
65%;30354.0;16513.0;0.0
67%;29426.6;740.0;0.0
79%;25577.2;4489.0;0.0
81%;29340.2;12532.0;0.0
91%;28642.4;8078.0;0.0
77%;35109.7;9783.0;0.0
91%;28447.8;6880.0;0.0
69%;24984.4;11938.0;0.0
70%;27157.5;5681.0;0.0
69%;25794.1;7498.0;0.0
89%;33035.3;5421.0;0.0
82%;30746.8;963.0;0.0
85%;32845.1;3505.0;0.0
82%;28062.2;19973.0;0.0
69%;24881.4;10154.0;0.0
94%;30322.6;0.0;0.0
94%;29424.4;3914.0;0.0
84%;26327.4;3087.0;0.0
75%;28877.6;4108.0;0.0
78%;25772.0;10543.0;0.0
92%;29141.9;12025.0;0.0
61%;26865.2;2342.0;0.0
74%;27275.1;10190.0;0.0
83%;31733.4;13108.0;0.0
79%;24008.6;7061.0;0.0
84%;27895.9;12663.0;0.0
97%;32407.0;13661.0;0.0
75%;27881.5;8573.0;0.0
57%;23847.8;7366.0;0.0
83%;33696.4;9077.0;0.0
97%;33488.5;505.0;0.0
89%;32008.4;1538.0;0.0
81%;28063.1;9335.0;0.0
97%;32817.5;11490.0;0.0
68%;25327.0;7385.0;0.0
89%;31547.8;7949.0;0.0
70%;29769.8;3949.0;0.0
61%;29944.0;2106.0;0.0
91%;32113.5;9604.0;0.0
89%;31335.8;9941.0;0.0
76%;31380.6;282.0;0.0
79%;26044.7;8294.0;0.0
70%;25424.7;8288.0;0.0
76%;27750.8;17101.0;0.0
84%;28692.3;1485.0;0.0
82%;27864.2;399.0;0.0
82%;27602.7;4936.0;0.0
72%;27090.8;2678.0;0.0
74%;24114.1;10668.0;0.0
84%;33088.4;972.0;0.0
92%;30212.2;2737.0;0.0
75%;27422.9;9778.0;0.0
82%;25683.8;12159.0;0.0
77%;23972.4;12336.0;0.0
80%;24734.6;10007.0;0.0
81%;25208.3;17777.0;0.0
71%;25807.6;11718.0;0.0
91%;29613.2;6539.0;0.0
