qualité du sommeil;temps au lit;activité (étapes);rythme cardiaque
100%;9:00;907;
89%;7:51;5899;
79%;7:20;71;
82%;8:10;5210;
65%;7:42;6636;
83%;7:51;5355;
65%;8:05;4119;
59%;5:01;5364;
91%;9:00;1097;
78%;7:34;1430;
62%;6:51;7603;
49%;5:33;9304;
74%;8:56;5051;
89%;8:02;787;
70%;7:35;5504;
75%;7:49;3709;
90%;8:43;144;
76%;7:18;6094;
96%;9:11;847;
83%;7:51;5919;
84%;8:11;1751;
79%;8:50;3789;
93%;9:34;52;
85%;9:27;27;
80%;7:34;430;
91%;8:11;3281;
82%;8:04;4153;
86%;7:33;6494;
68%;7:31;9426;
80%;7:26;7565;
80%;7:33;5735;
100%;9:05;5116;
63%;7:55;27;
73%;7:22;0;
80%;7:14;6417;
83%;7:52;0;
77%;9:01;0;
63%;7:05;3400;
70%;8:29;6015;
68%;7:19;3179;
63%;7:53;6346;
82%;8:27;218;
95%;8:35;0;
70%;7:49;96;
68%;8:09;7339;
72%;7:45;6970;
60%;7:04;1566;
80%;8:33;5184;
79%;8:26;75;
79%;8:20;3088;
59%;8:22;4553;
75%;8:44;1306;
97%;10:35;373;
75%;7:50;5168;
75%;10:08;61;
81%;8:25;2544;
76%;7:17;475;
0%;0:00;47;
91%;9:05;5064;
86%;8:46;2101;
83%;8:01;1334;
77%;6:51;2262;
90%;8:01;4529;
71%;7:38;6224;
70%;7:06;47;
70%;9:48;6296;
64%;9:02;2405;
73%;7:48;9237;
79%;7:15;2818;
71%;7:51;5752;
84%;7:27;6631;
59%;8:02;9516;
71%;10:01;4454;
67%;7:17;7253;
84%;7:56;22;
66%;6:44;2334;
73%;8:18;2867;
84%;9:03;4881;
72%;6:43;2149;
92%;9:07;1720;
81%;7:27;6518;
69%;7:29;29;
79%;8:23;107;
77%;7:44;5277;
72%;7:32;1325;
80%;9:20;3319;
65%;5:23;4810;
8%;0:36;166;
96%;9:08;362;
72%;6:52;2528;
78%;7:58;7982;
82%;8:28;5039;
73%;7:29;2435;
93%;7:18;68;
76%;8:18;5598;
91%;8:24;1901;
91%;9:08;56;
81%;7:11;64;
71%;8:56;3316;
80%;9:13;6555;
91%;8:55;2291;
